Stars,Titles,Comments
5.0 out of 5 stars,Nice Affordable Ski Goggles!,"I'm a casual skier but wanted my own pair of ski goggles and these fir the bill perfectly.  These are quite affordable, comfortable for all-day use and do not fog.  I bought the pair with the highly mirrored lens and with the exception of my ski buddy not being able to see my eyes, these were great for a sunny day.  Bonus feature is that there are other lenses available and I may pickup an additional lense for use on less sunny days or night.  So far, I'm very happy with this purchase."
5.0 out of 5 stars,"Amazing service, great goggles","Amazing service! I received my goggles quickly. After opening the package and noticing a small scratch in the lense I got in contact with Zionor. They got back with me quicker than expected these days and sent me another set in very little time. Excellent quality goggles! I love my pair and my nephew, who I purchased a pair for Christmas, loves his too! Thanks!"
4.0 out of 5 stars,Just what I needed!,"Didn't buy the goggles for snow skiing, but needed something to protect my eyes while mowing lawn. It has been very dry and dusty where I live.  Goggles fit over my eye glasses easily. Would have given 5 stars, but don't yet howdurable they will be."
5.0 out of 5 stars,Quality comparable to high end goggles,"Bought these for night skiing. I own Oakleys, Anon and Spy goggles so I was skeptical about how these would compare. I couldn?? be more pleased. They did not fog up. They are very comfortable and I could not tell a difference between these $30 goggles and my $120+ goggles. I will DEFINITELY be purchasing another pair."
4.0 out of 5 stars,nice goggles,just as described.  great for very sunny days.  very comfortable.  nice carrying pouch included
4.0 out of 5 stars,"Great goggles, would buy again","These worked just as great as anything you could buy for $150+. The one downside is that when it gets close to 4pm, they are a little too dark.. otherwise I appreciated they were dark during full daylight."
4.0 out of 5 stars,Transaction only,I can only give 4 stars due to I have only used the product once. This review is based on the transaction only.  A more accurate review would be after a month or two of use.
5.0 out of 5 stars,No bad surprises here,"Goggles look like they do in the pics.  field of view is great.  I really like that the ones I got didn't tint the world yellow/orange.  Only minor issue, and it's so minor I can't fault them for it, are some very small distortion points in the FOV.  You really gotta look for them to notice, and they don't distract at all when I'm flying down the hill.  For under $20, it's a good buy.  My only regret is not going for the X4 with the more easily replaceable magnetic lens."
5.0 out of 5 stars,Great Great Great. Fits glasses and over helmet,"I have $350 Oakley Iridium googles and this look almost a good. Seriously. I bought them to bike with my glasses on but will probably use snowboarding if I don?? want to put my contacts in. Seriously fit great with my helmet on which was a concern. I?? shocked my the quality, the fit and the lens vision. Home run regardless of price."
5.0 out of 5 stars,Get em!,"Got these in a pinch with Prime before a ski trip. Skied for a week with these and LOVED them. They never fogged up, don?? feel cheap or delicate. I really like them. Black lenses were a good choice for the really sunny days and also were fine for a cloudy/snowy day."
4.0 out of 5 stars,Red-ish,Not bad goggles. They fit good but lens is not nearly as red as the picture shows. More of an orange red. Little bummed bc I was hoping for that bright red color.
5.0 out of 5 stars,Fits great,Look great and comfortable read the glassses sizes
3.0 out of 5 stars,Foggy with glasses,"These goggles are alright. I usually wear glasses and although these goggles did fit over my glasses well, they kept getting foggy and I couldn?? see. I ended up taking off my glasses and riding blind for the whole day because i could see better that way then with the extremely foggy ness my glasses were causing. If you don?? have glasses, these are great. If you are blind like me, I suggest investing in a better quality goggle if you want to really see well. They are perfect for a first timer if you??e trying the sport out though."
3.0 out of 5 stars,Inner-side of lens scratched easily,"Great looking goggles. The outside is reflective and looks like a mirror. Glasses fit nicely underneath. Fogged really easily the first day of use. Tried to wipe away the condensation with gloves and there were clear circular scratch marks on the inside. Second day of use I adjusted the straps to make them as tight as possible which reduced condensation greatly, but still some degree of fogging. Overall I like the way it looks and is acceptable for the price. Make sure to use a soft fabric to clean the inside lens as it scratches easily."
4.0 out of 5 stars,Good for this price,"The style and price are pretty good, comparing to the other options. As a beginner that doesn?? do snow sports very often, this is great! But they aren?? the most comfortable goggles you will find."
4.0 out of 5 stars,Smaller than expected,These did not fit over any pair of glasses anyone in our household wears (elementary school through adult). Too small to fit even small child frames. Very disappointing.
5.0 out of 5 stars,Great purchase,I don't have a ton to say but I wanted to make sure I left a 5 star review because I was very happy with the goggles. Got a few compliments when I wore them out and they did indeed fit over my glasses.
5.0 out of 5 stars,I like them quite a bit. They look very cool.,"I like this set of goggles. The mirror ones easily get scratched but these don??. Don?? spend $200 on a pair of goggles they are not any different than these. I have several pairs from Zionor, I like them quite a bit. They look very cool. These are best on a sunny day and don?? work very well on a cloudy day. Keep that in mind. For 20 bucks by two pairs one for sunny weather and one for cloudy."
4.0 out of 5 stars,good n cheap,for almost 14 the price of good brand name goggles quite the deal
5.0 out of 5 stars,Great value,"They look great and perform excellent for the price. These goggles are dark - meant for very sunny weather, so while they are excellent for the daytime, don?? try to wear them in the evening or at night. My only concern is the durability of the lens. I guess that?? where you get what you pay for. I??e used them about 10 times this season and they already have a few light scratches. I also don?? know if you can get replacement lenses?"
3.0 out of 5 stars,They arrived scratched,"I bought these goggles last year for a trip and they were spectacular. Better than my more known brand goggles. Great price and great quality. No fog. Unfortunately I scratched them. No worries though, replacement lenses are 15 bucks which isn?? bad. But like the other reviews, mine arrived scratched. There was one larger scratch and then the rest of the lense looked like steel wool had briefly passed over it, or it was rubbed once on an abrasive piece of fabric. It?? unfortunate as these are great preforming goggles that look great."
4.0 out of 5 stars,Good temporary/beater goggles,A good purchase for a temporary goggle. I purchased to take overseas and leave at friends house where I ski every year; while ??hey do what they??e supposed to do??I predict they??l fail in a couple years - most notably the face foam isn?? coated with felt and will surely outgas and fail.
5.0 out of 5 stars,exactly what I  needed,"super fast  delivery, excellent  product."
4.0 out of 5 stars,Goggles,Fogged up a bit when having to wear a mask. Other than that they were great.
5.0 out of 5 stars,Wonderful for spraying poison,I used this for spraying poison to keep it out of my eyes. I am sure it?? works great for skiing too but it?? perfect for spraying poison and not overheating your face.
4.0 out of 5 stars,"Looks good, be careful of the plastic headband peice scratching the lens","Update: After visiting their website and contacting them through email, they have offered to send a replacement lens. All within 12 hours of emailing them. That's amazing.Original review:Very good looking goggles. Got the silver polarized lens. There is a slight distortion in your view...almost like a bubble....not noticeable going fast but slightly noticeable if standing still.Also, I put these in the bag they came in and took them with me on a trip. When i got to the resort, I took the goggles out, and the plastic piece on the headband had managed slide around and scratch the hell out of my brand new goggles. They did perform ok and did not fog up, but I was bummed.Going to contact them"
4.0 out of 5 stars,Nice buy,Sweet pair of goggles for the price. They do scratch pretty easy though
5.0 out of 5 stars,These worked great!,"Worn all weekend skiing, no fogging issues even while wearing a mask. Make sure to put bottom of goggles over the top of mask to prevent breath from coming up and fogging. Great field of vision and tint did great in the bright sun."
5.0 out of 5 stars,Great goggles and you can't beat the price!,"Used them for the first time today on opening day at Copper Mountain Colorado.  Clear blue skies and about 30 degrees.  Vision was great (have the dark non reflective lens), fits my helmet like a glove, feel was great, and no issues what so ever with fogging/condensation  considering how bad I was sweating.  Love the look/style as well.  My only complaint is they did not come with instructions on how to remove lens.  Came with an insert on how to care for them but that's it.  I had to google a instructional video to figure it out.  Seems like a simple insert into packing to me.  Nonetheless great goggles and would recommend all day."
5.0 out of 5 stars,... planning on using these with a helmet your gonna love them. They fit great,If your planning on using these with a helmet your gonna love them. They fit great..the straps tough and the amber tint lense (regardless of which color u choose yes from the inside out its amber) is super bright and everything on the slope is very well defined. If you don't have a helmet get one. Not only will it save your skull from a direct hit but these goggles won't make you look like something out of a bad 80's horror film. They stick out far from you face and without a helmet you'll be wishing you ordered a low profile or smaller pair. With a helmet you take on almost a pornstar type persona. The snow bunnies will be running into trees because they are too busy looking at you instead of watching where they are going.
4.0 out of 5 stars,Quite nice for the price,"Quite nice for the price ! Just got them today, they look super cool at first glance but at a closer inspection cheaply made! Have not tried them on the slopes yet though. 4 stars for now.After taking this googles on the mountain realized they are not worth it !! But I should have known, you get what u pay for. I took them out of the protective bag and for some reason the lens just got stained without me even touching it ! Tried to wipe it off but that was a no go. I just returned them and got a pair of Oakley flight deck whelp worth the $$$. Don't spend your time and money on this cheap stuff !!"
2.0 out of 5 stars,Terrible vision,"I tried these on in my kitchen and couldn?? see ANYTHING. They are so foggy. I guess the positive thing I can say is that you won?? be getting too much light exposure to your eyes, but you also won?? be able to see obstacles on the slopes."
3.0 out of 5 stars,That looks bug eyed,They look big eyed
5.0 out of 5 stars,Must have for first time snowboarding trip,"I am a newbie snowboarder and got these because of the low price. I was expecting it to be cheap, but these were better quality than the cheapest brand sold at the actual ski resort. These were adjustable to fit around my head and helmet and they were comfy to wear the whole session. They only fogged up once because of proper placement over my balaclava, but overall, super impressed by its fit, anti-fog ability, and durability! highly recommend!"
4.0 out of 5 stars,Not bad,They seem to pull my glasses down. Have to keep adjusting.
2.0 out of 5 stars,Fogs up quick,"Looks good, comfy. But it fogged up, got a lot of moisture and froze, could not use it after 2 hours of snowboarding. Not useful when it is cold."
4.0 out of 5 stars,"Cool, just fog up a little","Look great, but they fog up a little."
2.0 out of 5 stars,Poor fog control,Fogs up really easily. The foam on the vents doesn't allow air to pass through. I ended up ripping out the foam while in the slope because I couldn't see. Doesn't seem like there's any anti-fog coating on the lens either.Fits over my glasses well though.
5.0 out of 5 stars,Really Good Goggles!,"I usually don?? write reviews but this product is worth the write. Trust me I know the price looks too good to be true but they really are an amazing pair of goggles. I see many people wearing these goggles in big name ski resorts. Ive had them for 3 months and used them many times and haven?? had the slightest problem with either fogging or comfort. Try them out, if your on edge."
5.0 out of 5 stars,Make Me look great and filter out the harmful light.,"I love these snow goggles. They were a fantastic price. They filtered out the harmful light and I could see well on bright days. I bought the heavier filtered lens for bright days but at this price I will buy some lighter lens for darker days. There is a wide variety of lenses available and they are interchangeable, but I will probably buy a complete goggle because the price is fantastic. They look great on Me."
5.0 out of 5 stars,great bang for your buck!,these are great! i get so many compliments on the slopes because they're VERY shiny and reflective. i was a little worried about the size because i have a small head/face (i was wearing kids goggles before this) but they fit great! i love that they come with a little pouch so they don't get scratched when you throw them in your gear bag. definitely would recommend!
5.0 out of 5 stars,You need clear lenses,These lenses are a good investment to go with the frames.
5.0 out of 5 stars,Very satisfied with these goggles,"Purchased the clear orange version which allows the perfect amount of sun through to see the relief and contours of the slopes. I had been in a mirrored, grey-tinted goggle, which didn't work well on the overcast days we have in New England. This pair was going strong on a few trips before the season was cut short by the coronavirus outbreak: curious how they will hold up over time."
5.0 out of 5 stars,Awesome clarity and comfort,Excellent set of goggles. I love the wide peripheral vision and the clarity. Had no issues in cloudy dark weather and satisfied with the quality. Had a pair of Oakleys prior to this purchase but find that these pair are actually better
4.0 out of 5 stars,Sleek and stylish.,I wore these goggles snowboarding this past weekend for the first time and for the most part they functioned well.  There was some moisture and subsequent icing that got on the inside which caused fogging.  Otherwise they were clear and durable if kept clean.
4.0 out of 5 stars,Adequate for occasional use,4.5 stars really just because of the price. Couldn?? ask for better with that as a cap. However the quality is something to consider if you??e looking for a daily use or long term fix. These are just decent for the price.
5.0 out of 5 stars,Great,"We both got the blue, it?? beautiful! Comfortable and easy to adjust. The padding is soft. The fit was great. My husband uses the goggles over his glasses and it fits. It does seem that they will scratch easily which is a downside. Did not fog up for me at all, although it did fog up a little for my husband (I think because he was wearing his glasses)."
5.0 out of 5 stars,Very nice goggles!,"I used them once so far and am very happy with my purchase. They are very comfortable, great visibility and really well made. They stay in place on my helmet with the sticky backing on the inside of the band."
5.0 out of 5 stars,Perfect for a few ski days a year,"Exactly what I needed for a last minute ski trip in Colorado! I never had issues with fogging or glaring. The style was similar enough to current name brand goggles that my friend, who always wears top of the line gear, said ??ow! Those goggles are sick!??,One person found this helpful"""
5.0 out of 5 stars,Wear glasses? These might be for you...,"I love the look of these goggles and they were great out in the snow.Pros:+ high quality look (friend asked how much I got these for because he thought these were the same as his which he got for 3x the price)+ kept me from going blind from the brightness of the sun reflecting on the snow+ made me look like a pro even though I actually sucked at snowboarding++++++ FITS OVER MY GLASSES, major plus on thisCons:+ sometimes fogs up, I found they needed to be positioned a certain way on my face to not fog up, took some trial and error but I got it downPreviously, I bought some super cheap goggles for my skiing trips. Big mistake, the difference between the cheapo ones and these are big."
4.0 out of 5 stars,Great goggles but a little bit big.,"Lens is clear and the look great. My only issue is that they are a little on the big side and they contact my helmet. This pushes them down on my nose a bit. They do however, fit well over glasses."
4.0 out of 5 stars,and I'm quite happy with them so far,"I've been using these goggles weekly for the first half of this season, and I'm quite happy with them so far.  It's mostly been very good weather conditions, no heavy fog or high temperatures, but I haven't had any fogging issues.  Good face coverage, good field of view, and I really like the lens' plain silver and the no-logo black strap.The lens isn't the best in optical quality; there is some distortion across the field of view.  (Look at a fixed spot and turn your head side to side so you look through different parts of the lens.)  I find it a nuisance, but not really an issue."
5.0 out of 5 stars,"Comfortable, effective, COLORFUL!","Google work amazing!! Love them. Colors are awesome I have green, and im pretty sure I'm going to buy another color, always good to have a back up pair incase of frost over. Must buy if looking, LOOK NO MORE!!"
5.0 out of 5 stars,Vibrant colorful lenses,Both pairs were purchased from this seller. We loved our goggles and they were great our entire 2 hr. Snowmobile rideThese red and blue pairs were definitely a show stoping pair of goggles on the slopes !
5.0 out of 5 stars,Great quality,"Great goggles! Why spend $200 when you can get great quality for a better price! I bought 2 pairs, one for me & one for my fianc?, and we have since bought the changeable lenses for the different light conditions on the slopes. They are very easy to change & we have turned our ski pals on to this product. I highly recommend this product ??"
4.0 out of 5 stars,Great goggles,Play in the snow
2.0 out of 5 stars,"Great Look, Low Durability","I love the look of the goggles, however, they were done after 1 use. In 1 use, they consistently fogged up. When I used a soft cloth to wipe it, they scratched right away. They look cool, but they're ridiculously fragile. I'd look for another pair of goggles."
5.0 out of 5 stars,Great value!!,"(Man on left) I bought these goggles hoping for a temporary fix for not having goggles in time, but I love them. They fit great, and they work perfectly! Quality seems great for the price. Definitely recommend."
4.0 out of 5 stars,Might not get the same color scheme as picture,Right out the box they look good and feel nice on my head my only complaint is that the lenses are a little more rainbow than I wanted. The picture shows red and orange but there's a lot of blue
4.0 out of 5 stars,Gnarly,For the price great buy.
4.0 out of 5 stars,Great fit for the price:),test on the mountain TBD
2.0 out of 5 stars,Foggy,"Lasted 10 minutes before completely fogging up. I just wore these for the first time, walking outside in -23*F windchill for about an hour. Worked great for about 10 minutes and then got filled with fog, which then froze into a layer of ice. I am going to try a few things and will update if any improvement. I think it has something to do with the seal not fitting snug enough around my face.On the positive side they fit great over my quite large eyeglasses (5.5"" wide), although I didn't wear those this time as they immediately fogged up.I will update if I figure out a solution to the fogging. I'm guessing you have to make sure they are perfectly sealed around your face so no air can get in at all."
5.0 out of 5 stars,A great value,I ski 30+ days a year in Colorado and these Googles are a great value and very functional. No fogging and clear perspective . 1/3 the price of competitive models. Seeing these all over winter park ski area this year.
5.0 out of 5 stars,"Comfortable, easy to wear, no fogging","Super comfortable, barely had to adjust, didn?? fog! We have many cloudy and snowy days of snowboarding where we are and this particular (Orange see-through)  lens is perfect for those days."
5.0 out of 5 stars,) I was questioning how good these were going to be for the price when ...,"Bought them for a recent trip to Colorado which also happened to be my first time snowboarding. :) I was questioning how good these were going to be for the price when name brand goggles in this style go for $200 easily. They worked wonderfully absolutely LOVE these goggles. They got bumped by the edge of a snowboard several times and didn't scratch. They don't fog up and the lens is easily removable for cleaning. They look pretty cool and I love the tint of the lens. They were great. Super comfortable, never fogged."
4.0 out of 5 stars,"Great goggles, great price point!",Great product for the money. The reflective coating is a bit delicate and scratches easily but overall a great value. I?? rather buy 5 of these than 1 set of expensive snow goggles.
4.0 out of 5 stars,Nice price,"Quality is great here, I had zero complaints the first times I used them, very warm and cozy. Only complaint I have is some of the gloss on the front of the goggles got scratched off somehow, I don't remember but it's good."
5.0 out of 5 stars,Great for using at the Sprint Car Races!!!,"My husband will need these great goggles to be protected from the dirt, rocks and debris flying around at the dirt races!!"
5.0 out of 5 stars,BUYER BEWARE!!!!!!!,Ordered these for a dog mushing trip to Alaska.  Totally useless as they fogged up so badly that I could not see. Never could use them at all. Waste of money!!!!!
5.0 out of 5 stars,Their awesome.,My husband is a snowboarder and his grandson suggested he get these.  He LOVES them.  Easy to switch lens.  He got the yellow lens to switch out.
5.0 out of 5 stars,Worth it!,"Daughter loves them! She says they??e comfy, don?? fog up, and can see fine whether it?? a bluebird day or overcast. Haven?? tried them yet on a storm day yet though."
5.0 out of 5 stars,Report abuse,Translate review to English
4.0 out of 5 stars,Affordable Ski mask,"Bought these for my Son.  Decent ski goggles for the price.  He said they fogged up a couple times, but might've been caused by the facemask.  Said they were comfortable and still likes them."
5.0 out of 5 stars,Great value!,"I bought one kid the Oakleys and then the rest of the fam got theses--honestly, I can't tell much difference but these were about $150.00 cheaper!  comfortable, good fit and uber cool looking!"
5.0 out of 5 stars,"A tight fit around my glasses, but a wonderful addition to my winter wear.","The ski goggles fit perfectly over my glasses. I was certain to measure the width of my glasses and the height as well and compared it to the info about the ski goggles. I will say they are snug around them, but once they are on, they are on. I do not live anywhere near the mountains, but in western Kansas we do have some terrible blizzards. I will use them year after year and I?? thrilled to have them as part of my winter attire. Thank you so much."
5.0 out of 5 stars,Gift,"This was a gift, my granddaughter was going skiing for the first time and needed googles - selected these.  She said they worked well once they were actually skiing."
5.0 out of 5 stars,Happy with my purchase,I was hesitant to buy snow gear from Amazon especially since my boyfriend is such an avid skier but the goggles worked perfectly while skiing. Glad I bought them!
5.0 out of 5 stars,They don't Fog up and no odd color when viewing through them,"I haven't taken them out snowboarding yet but I did wear them in the house for a good 2 hours lol no joke. They didn't fog up and I was really able to see. It didn't limit my vision.There isnt an off color when you see threw them, things are just a bit dimmer from the sun."
5.0 out of 5 stars,Don?? fog up and work well.,Great goggles no complaints.  Did not fog up which says a lot because I get hot and sweaty when skiing.
5.0 out of 5 stars,Work great!,"So far, really good. I??e ridden for 20+ years, and I?? picky about vision. These outperform my $100 other storm day goggles in terms of not fogging up. I have used them on several first-chair powder days in very low light and been very pleased with them. I wear an Anon Prime helmet, size L, and they fit fine."
5.0 out of 5 stars,Good,Good
2.0 out of 5 stars,Very poor quality,"Very disappointed by this. The product looks decent, but the quality is terrible. There is a reason why these are very cheap. I am returning this right away. Here are some issues:There is a very sticky substance all over the frames. It's one of three things. Either its the plasticizer leeching out of the soft portions of the product and causing that sticky feeling over the frame (happens to a lot of cheap products over time). Or it's the adhesive they used to glue the foam around parts. Or it could simply be something spilled on it in production. Either way, it's impossible to remove. It's getting on the lenses. If it's plasticizer or adhesive used, every single pair of these googles will have that problem eventually.In general, they are pretty flimsy. The foam is attached in not so precise way.I didn't get a chance to use them outside, but they did seem to fit over my smallish pair of glasses fine."
5.0 out of 5 stars,Great price and does the job.,"I was skeptical buying these because of the price point. I snowboard only a few days a year and needed a cheap replacement pair. These worked great. The visability during a sunny day, cloudy day, and snowy day all were great!  My lenses are around 20% which is a great catch all for multiple lighting conditions."
5.0 out of 5 stars,Winter Bike Commuting,"These work great for me when the temps really drop.No fogging, no brain freeze! Yay!No idea how they are for skiing."
5.0 out of 5 stars,Great buy!,Safe to say perfect protection! Uv protection was great along with the fact they stay in place so well! Easy to clean and very durable!
4.0 out of 5 stars,Asian fit,"Asian for goggles. The black lens is good, black non reflective, like sunglasses. You can also flip the strap inside out to be all black without brand names"
5.0 out of 5 stars,Nice ski googles,"Work as intended. Lens can get a bit foggy when it?? super wet (like when raining), but other than that, no fogging issues"
5.0 out of 5 stars,Highly surprised,"all I can say is I love these things. I ordered them just days before I left for a mammoth trip and they arrived on time, not only looking awesome but feeling super comfortable on my face while riding. After withstanding the 3 ft of powder we had, these things didn't fog up a single time on me and were very breathable while still having a sleek look, and great peripheral sight. I highly recommend these goggles to any type of snowboarder or skier going on the slopes there is no need to buy super expensive ones when you have these that look exactly the same and function just as well."
5.0 out of 5 stars,fog free,"I have been trying to find a pair of goggles, and I have tested a few, that will keep my glasses fog free.  This is the first pair that does that.  There is occasional fogging but it quickly clears.  I am delighted to have found these goggles.  Thank you very much!!"
5.0 out of 5 stars,awesome goggles,"I bought a pair three years ago and they are still going strong, scratches yes but working for a snowmobile tour company and a ski resort they are daily wear items and I'm not gentle with them. I recently purchased six more for my family and they all loved them. The anti fog works well in all conditions. Not quite the quality of Smith or Oakley but when you can get 4 for the price of 1 who cares."
5.0 out of 5 stars,Lens,"Great spare lens. Clear lenses are perfect for those low visibility days, without coloring your vision!"
5.0 out of 5 stars,Love these googles are Great,Love these goggles Got these for hunting. Last time i was hunting it was -18 outside...  so you kinda want your full face covered if your out and about. Got a 5 point buck that day too! I guess some people would call it a 10 point idk. Not a whole lot of people out hunting on that day..  i wonder why?Great goggles would buy them again. even looks alot like my friends googles that he paid 200 dollars for. His has quick attachable lenses and if he wrecks his lenses pop off.
5.0 out of 5 stars,Its just lens. No goggles,It wasn't obvious to me that this is just a lens. No goggles. You will need your own goggles. Cant rate it so
4.0 out of 5 stars,Excellent value,"Best fitting, excellent for low and bright light skiing, but not night skiing. Scratch easily, but fit over my glasses with no fog!"
4.0 out of 5 stars,Great Goggle!,"Bought these for a snow tubing event and I?? very happy that I did. It ended up sleeting while we were there this kept it all from going in my eyes. I do admit that I gave it 4 stars d/t them fogging up pretty bad towards the end, but I??l take the fog over not being able to participate."
3.0 out of 5 stars,Huge! Cannot wear with helmet.,"I have a small adult face, and these goggle were more than an inch too tall to wear with my ski helmet.  My partner with a large adult face had the same problem. The slid down and covered my nose with my helmet on.So, they are great (gorgeous, and they offer POLARIZED lenses, no fogging, comfortable, multiple VTE ratings for different snow days) as long as you're not wearing them with a helmet. Great with a hat for snow play.  Pretty garbage if you're using a helmet."
5.0 out of 5 stars,Saved our ski trip.,"I bought these for our whole family for a weekend trip. The price is phenomenal and they worked brilliantly on a super cold, super sunny weekend. No scratches or anything so far, with 2 non-careful kids. We have never skied with goggles before and we're super surprised/happy with the difference they make."
5.0 out of 5 stars,Excellent,Very nice and comfortable. Happy with these googles!
5.0 out of 5 stars,"Look awesome, worked great!","Loved these.  Skied in Colorado with them, fit perfectly around a helmet.  Comfortable and look great!"
5.0 out of 5 stars,Very pretty!,"These goggles are so nice. I love the way they look and fit. The sad part is that unfortunately I didn?? get to wear them on the slopes, because someone stole them while I was buying my lift ticket. :( they are nice though!"
4.0 out of 5 stars,comfy,these bussin
5.0 out of 5 stars,Awesome goggles,"Fit really well over my glasses, and mostly stayed on my head through all the wipeouts"
5.0 out of 5 stars,Great vision and cool looks,"I received so many complements on my goggles while skiing and snowmobiling.  The vision is great and they never fogged up while driving a snowmobile with negative temps and snow.  I purchased the polarized lens and love it.  It is as good as my sunglasses for vision and clarity and never once had the concurve vision feeling while wearing them.  I do wish the strap wasn't so boring, but that is a small (very small) issue.  The goggles are amazing and cover most of your face so the cold isn't an issue. I cant wait to play in the snow again so I can break them out."
3.0 out of 5 stars,The lens scratches extremely easy,"The goggles are great for the money but the lens coating  scratches very easy, after wearing them once I noticed a number of small scratches . If  you are careful and protect the lens you will be happy  your purchase ."
5.0 out of 5 stars,Great look and fit,Didn?? fog up at all. Fit perfectly. I used these for night skiing and was able to ski fine. Others complained it being to dark.
5.0 out of 5 stars,"Can't compete with the high end lenses, but this is great value","I wore these for a week straight in Vail, CO pre-covid and barely had any issues. There were some fogginess during little hikes with heavy breathing, but I was surprised how comfortable they were even with glasses on."
5.0 out of 5 stars,Great for the price,"These met expectations. Did have some issues w fogging, and the lenses are delicate/scratch easily. But an excellent price given alternatives..."
5.0 out of 5 stars,Great value,Wore them for the first time yesterday. My friend had also bought the exact same pair. After four hours skiing I finally realized I had them on my head that?? how perfect they were. Never fogged up once very comfortable. When you don?? realize you??e wearing goggles you know they are great.
5.0 out of 5 stars,Love these goggles,I am actually using googles to mow a gigantic yard and this keeps the grass dust out of my eyes.  The UV protection improves my vision during the super sunny days.  I will  get another pair for skiing.
5.0 out of 5 stars,You need these,"These don?? fog up at all, insane! So worth the price"
5.0 out of 5 stars,Nice goggles.,Make sure you read and pick correct shading for your weather. They look great and fit over my glasses.
5.0 out of 5 stars,Great goggles for the money,"As expected, fast shipment, kinda a lot of packaging. Great goggles, though. They look really cool with my BMX (bicycle moto cross) helmet, which has saved my face from impact a few times. Very good visability. Felt nice and warm on a low teens Fahrenheit day.  At this price hard to go wrong!"
5.0 out of 5 stars,As advertised.,Used with snowmobile helmet and worked great.
5.0 out of 5 stars,Fit very well,Will wear them this winter
3.0 out of 5 stars,Do Not Fit Over Glasses,"These did not fit over my adult small sized glasses (5.25 x 1.25). The goggle frame pushes on my glasses and creates uncomfortable pressure at my nose and temples. Outside of this, they look cool but that's about it."
3.0 out of 5 stars,Foggy,"It was great however i went skiing on a hotter day and it did fog, had to remove them and clean them up"
4.0 out of 5 stars,"Good googles, but buy the magnetic ones","I bought these before I new about the magnetic ones.  Changing lenses takes a little fiddling.  These are good googles, but the magnetic ones make changing lenses a snap."
5.0 out of 5 stars,UV Blocker,This was a gift for my son-in-law and he said they were absolutely perfect and like the fact that they had the UV blocker on them
5.0 out of 5 stars,good quality great price,Can't beat the price and quality for less than $20. I ordered two. I returned the polarized ones because they arrived used and they were more expensive. I kept the regular silver ones and used them while skiing in Canada and they worked just fine.
5.0 out of 5 stars,Perfect!,"These were great!!! About half the people on the mountain this day had this exact goggle brand, which says something! A great, affordable option."
3.0 out of 5 stars,"Could be great goggles, but poorly made.","Tinting was uneven, fades from pink to yellow from left to right, blue optic coating needs to be sealed, it attracts smudges that are impossible to get off, there was a spot in the middle of the lens from the application of the mirror coat. Needs an anti reflective coating on inside of two layer lens, lots of internal reflection. Glue everywhere, very sloppy application in the factory. Foam on bridge of nose is too thick, and restricts breathing. The band could use some grippyness. The yellow bright lens was much cleaner optically than the blue/brown, odd distortion when I turn my head.These do fit over glasses  very well, look good, are very well ventilated, and show a lot of promise, but need those small improvements that are so hard to come by. A ok value at $50, but not comparable to Oakley's yet. Lenses also easy to change."
4.0 out of 5 stars,great buy for the price,"Got a little foggy while breathing through my nose I noticed, do not judge the looks of these goggles indoors or through artificial lighting, only outdoor will the goggles look and match the picture perfectly, 4 stars because it did get a tiny bit foggy when it said fog free, and the strap is not advertised for those wondering it is just an all black strap no logos or anything. Very warm and the polarization did exceed my expectations, great buy for the price."
5.0 out of 5 stars,Worked great,I loved them no fogging and when it was darker I still thought it was lighter with these on.
5.0 out of 5 stars,A hit at Berkshire East!,Got them for my hubby his 2nd pair different lens color - HE loves them - everyone at the mountain loves them too!
5.0 out of 5 stars,Greatly exceeded my expectations,"I bought these thinking EH, they're only $60, worst comes to worst I'll have extra goggles.  These goggles are awesome.  I like them better than my electrics, which will often retail for 150 or more.  The lens is kind of annoying to change out at first but I got used to it and, they were only $60!!!  No fogging at mt bachelor, OR on a 25 degree snowy day.  Ordered the yellow low light lenses as well, very satisfied with my purchase!  Definitely recommend if you are looking for high end looking goggles but don't want to spend over $200"
5.0 out of 5 stars,Worth buying!,Worth the money!!! I was skeptical but these are amazing glasses. They didn?? fog up at all and I could see well!
5.0 out of 5 stars,Must buy!!!,I highly recommend these googles they worked perfect for the blue bird days over spring break.
5.0 out of 5 stars,great repladcement lense,my other were scratched.  These are a perfect replacement.  Will buy again is scratch the lens.
4.0 out of 5 stars,I was pretty pumped about the Miami vice multi color reflection,I went to a riffraff concert whichinspired me to buy these for my upcoming snowboard trip at vale. I was pretty pumped about the Miami vice multi color reflection. The only problem was I actually can't see out of them.  A minor case of fog and a slight sun reflection led to me eating s*** and blowing out my MCL.  Not worth the price tag.  On a positive note they are great for a ski weekend facial.
5.0 out of 5 stars,Perfect addiction to your PPE,"I got these to wear over my glasses in Covid patient rooms with my other PPE. They are comfortable and don't fog up for most use. I also have readers that fit under it, and they fir perfectly over my respirator."
4.0 out of 5 stars,Rugged and we'll insulated,These are some good looking goggles. I live in the northeast and ski a few times a year. I haven't used them yet but will update the review after a few times on the slopes. They seem rugged and will take normal abuse. Great price on a design that is typically more expensive
5.0 out of 5 stars,No problem with glasses,I had no problem with my glasses (standard size) and it did not fog. Great product.
4.0 out of 5 stars,Great Night Lenses,Great lenses for riding at night. Didn?? experience much fogging when wearing my goggles underneath helmet.
